CoordinateX;CoordinateY;Banda;NVolte
2990;1599;CAPONE;8
465;1472;TATTAGLIA;5
2980;1584;CAPONE;1
432;1464;TATTAGLIA;9
1061;363;GENOVESE;8
4910;240;SOPRANO;0
514;1482;TATTAGLIA;4
3077;1651;CAPONE;10
4963;976;CORLEONE;0
4996;1051;CORLEONE;3
5000;1012;CORLEONE;8
5036;289;SOPRANO;3
2989;1597;CAPONE;8
4043;277;GAMBINO;0
4989;991;CORLEONE;7
5022;1019;CORLEONE;2
3071;1600;CAPONE;8
4962;1092;CORLEONE;2
2962;1592;CAPONE;3
5050;205;SOPRANO;2
4031;267;GAMBINO;1
2944;1570;CAPONE;4
4003;238;GAMBINO;2
4984;326;SOPRANO;5
3045;1623;CAPONE;7
